cost,genes
0.0006198044234113106,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 47. 48.  1.  8. 43. 31. 29.  9. 41.  8. 56. 45. 10.
 49. 59. 30. 19. 63. 69. 20. 14. 18. 80. 61. 59. 51. 19. 11. 17. 36.  9.
 54. 36.  1. 65. 50. 78. 61.  4. 29.]"
0.0006198044234113106,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 47. 48.  1.  8. 43. 31. 29.  9. 41.  8. 56. 45. 10.
 49. 59. 30. 19. 63. 69. 20. 14. 18. 80. 61. 59. 51. 19. 11. 17. 36.  9.
 54. 36.  1. 65. 50. 78. 61.  4. 29.]"
0.0006165120617817723,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 20. 45. 33. 51. 26. 37. 66. 19. 35.  4. 33. 46. 75.
 27. 75. 31. 36.  6.  1. 39.  6. 30. 22.  5. 42. 30. 41. 43. 63. 36. 39.
 68.  7. 32. 44. 38. 19. 69. 53. 76.]"
0.0006157918674698341,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 30. 28. 13. 36. 67. 70.  9.  5. 37. 47. 75. 78.  8.
 40. 14. 22. 32.  8. 41. 24. 74. 65. 61. 44. 12. 23. 38. 18. 46. 20. 53.
 16. 13. 65. 28. 66. 43. 50. 31. 23.]"
0.0006099258622040206,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 30. 32. 63. 34. 42. 36.  6. 43. 24. 47.  1. 74. 46.
 22.  3. 49. 64. 53. 69. 20. 14. 18. 80. 61. 59. 51. 19. 11. 17. 36.  9.
 54. 33.  1. 65. 50. 78. 61. 44. 40.]"
0.0006099258622040206,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 30. 32. 63. 34. 42. 36.  6. 43. 24. 47.  1. 74. 46.
 22.  3. 49. 64. 53. 69. 20. 14. 18. 80. 61. 59. 51. 19. 11. 17. 36.  9.
 54. 33.  1. 65. 50. 78. 61. 44. 40.]"
0.0006087874509381093,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 32. 40. 63.  7. 48.  3. 10. 37. 29. 54. 21. 30. 35.
 67. 53. 79. 29. 69. 71. 25.  8. 45. 42. 28. 61. 51. 44. 27. 25. 33.  3.
  6. 52. 22. 23. 78. 73. 62. 21. 23.]"
0.0006087874509381093,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 32. 40. 63.  7. 48.  3. 10. 37. 29. 54. 18. 30. 35.
 67. 53. 79. 29. 69. 71. 25.  8. 45. 42. 28. 61. 51. 44. 27. 25. 33.  3.
  6. 52. 22. 23. 78. 73. 62. 21. 23.]"
0.0006087874509381093,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 32. 40. 63.  7. 48.  3. 10. 37. 29. 54. 31. 30. 35.
 67. 53. 79. 29. 69. 71. 25.  8. 45. 42. 28. 61. 51. 44. 27. 25. 33.  3.
  6. 52. 22. 23. 78. 73. 62. 21. 23.]"
0.0006022725614519814,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 16.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 26. 34. 62.]"
0.0006022725614519814,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 76. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 16.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 26. 34. 62.]"
0.0006022725614519814,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 76. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 16.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 26. 34. 62.]"
0.0006022725614519814,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 76. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 16.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 26. 34. 62.]"
0.0006022725614519814,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 76. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 16.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 26. 34. 62.]"
0.0006022725614519814,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 76. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 16.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 26. 34. 62.]"
0.000585306606065511,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 30. 32. 63. 34. 37. 48.  6. 43. 24. 47.  1. 74. 46.
 22.  3. 49. 64. 53. 69. 21. 14. 18. 80.  5. 59. 51. 41. 11. 17. 36. 23.
 54. 33. 20. 65. 50. 78. 61. 44. 40.]"
0.000585306606065511,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 30. 32. 63. 34. 42. 76.  6. 43. 24. 47.  1. 74. 46.
 22.  3. 49. 64. 53. 69. 21. 14. 18. 80. 12. 59. 51. 41. 11. 17. 36.  9.
 54. 52. 27. 65. 50. 78. 61. 44. 40.]"
0.000585306606065511,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 30. 32. 63. 34. 42. 76.  6. 43. 24. 47.  1. 74. 46.
 22.  3. 49. 64. 53. 69. 21. 14. 18. 80. 12. 59. 51. 41. 11. 17. 36.  9.
 54. 52. 27. 65. 50. 78. 61. 44. 40.]"
0.0005452993308972966,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 62.]"
0.0005452993308972966,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 62.]"
0.0005452993308972966,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 62.]"
0.0005452993308972966,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 62.]"
0.0005452993308972966,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 62.]"
0.0005331685428237692,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 18.]"
0.0005331685428237692,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 23.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 18.]"
0.0005331685428237692,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 23.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 18.]"
0.0005331685428237692,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 23.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 18.]"
0.0005331685428237692,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 23.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 18.]"
0.0005331685428237692,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 23.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34. 18.]"
0.0005331685428237692,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34.  3.]"
0.0005331685428237692,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16. 75. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 71. 34.  3.]"
0.0005284100895116783,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 68.
 59. 67. 55. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 78. 26. 39. 23.]"
0.0005125574734487772,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74.  3. 73. 29. 56.
 59. 67.  5. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 28. 78. 26. 39. 62.]"
0.0005125574734487772,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74.  3. 73. 29. 56.
 59. 67.  5. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 28. 78. 26. 39. 62.]"
0.0005125574734487772,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 56.
 59. 67.  5. 44. 23. 45. 19. 49. 65. 16.  8.  2. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 50. 78. 26. 52. 62.]"
0.0005125574734487772,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 56.
 59. 67.  5. 44. 23. 45. 19. 64. 65. 16.  8.  2. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 50. 78. 26. 52. 62.]"
0.0005125574734487772,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74.  3. 73. 29. 56.
 59. 67.  5. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 34.
 15. 24. 43.  9. 28. 78. 26. 39. 62.]"
0.0005125574734487772,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74.  3. 73. 29. 56.
 59. 67.  5. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 34.
 15. 24. 43.  9. 28. 78. 26. 39. 62.]"
0.000504836392022954,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
  7. 67. 30. 44. 20. 45. 21. 49. 65. 16. 68. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 42. 26. 52. 48.]"
0.000504836392022954,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
  7. 67. 30. 44. 20. 45. 21. 49. 65. 16. 68. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 42. 26. 52. 48.]"
0.000504836392022954,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 25. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
  7. 67. 30. 44. 20. 45. 21. 49. 65. 16. 68. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 42. 26. 52. 48.]"
0.000504836392022954,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
  7. 67. 30. 44. 20. 45. 21. 49. 71. 16. 68. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 42. 26. 52. 48.]"
0.000504836392022954,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
  7. 67. 30. 44. 20. 45. 21. 49. 65. 16. 68. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 19. 42. 26. 52. 48.]"
0.000488369479552571,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
  7. 67. 30. 44. 20. 45. 21. 49. 65. 16. 68. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 42. 26. 13. 48.]"
0.000488369479552571,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
  7. 67. 30. 44. 20. 45. 21.  5. 65. 16. 68. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 42. 26. 13. 48.]"
0.000488369479552571,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
  7. 67. 30. 44. 20. 45. 21.  5. 65. 16. 68. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 42. 26. 13. 48.]"
0.000488369479552571,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
  7. 67. 30. 44. 20. 45. 21. 49. 65. 16. 68. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 42. 26. 13. 48.]"
0.000488369479552571,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
  7. 67. 30. 44. 20. 45. 21.  5. 65. 16. 68. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 42. 26. 13. 48.]"
0.000488369479552571,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29.  8.
  7. 67. 30. 44. 20. 45. 21.  5. 65. 16. 68. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 42. 26. 13. 48.]"
0.000488369479552571,"[ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.
  0.  0.  0.  0.  0. 54. 33. 10. 77. 11. 63. 37. 31. 74. 22. 73. 29. 79.
  7. 67.  5. 44. 20. 45. 19. 49. 65. 16.  8. 32. 72. 46. 36. 47. 12. 40.
 15. 24. 43.  9. 80. 21. 26. 39. 23.]"
